X_7days_100R40,W_7days_100R40,X_30days_100R40,W_30days_100R40,X_365days_100R40,W_365days_100R40,X_7days_100R80,W_7days_100R80,X_30days_100R80,W_30days_100R80,X_365days_100R80,W_365days_100R80,X_7days_200R40,W_7days_200R40,X_30days_200R40,W_30days_200R40,X_365days_200R40,W_365days_200R40,X_365days_200R80,W_365days_200R80,X_30days_200R80,W_30days_200R80,X_7days_200R80,W_7days_200R80
0.054,42.832,0.063,42.909,0.076,51.430,0.054,42.849,0.067,43.003,0.073,52.282,0.054,42.813,0.064,43.154,0.076,51.940,0.054,42.966,0.063,43.136,0.076,49.097
0.057,42.852,0.067,42.915,0.079,50.227,0.057,42.854,0.071,43.076,0.076,51.448,0.057,42.818,0.067,43.103,0.079,51.073,0.057,42.971,0.066,43.141,0.079,48.365
0.060,42.904,0.067,42.915,0.082,49.588,0.060,42.859,0.074,43.015,0.079,50.614,0.060,42.796,0.070,43.108,0.082,50.340,0.057,42.971,0.069,43.185,0.082,47.904
0.063,42.862,0.070,42.894,0.085,49.029,0.063,42.844,0.077,43.020,0.082,49.724,0.063,42.774,0.073,43.002,0.085,49.540,0.059,42.936,0.072,43.112,0.085,47.365
0.066,42.804,0.073,42.872,0.088,48.310,0.066,42.791,0.081,43.093,0.085,49.198,0.065,42.805,0.078,43.065,0.088,48.941,0.063,42.902,0.075,43.078,0.088,46.826
0.069,42.794,0.076,42.850,0.091,47.832,0.069,42.835,0.085,43.032,0.088,48.532,0.068,42.783,0.081,42.960,0.091,48.342,0.066,42.898,0.078,43.083,0.091,46.598
0.072,42.814,0.079,42.909,0.093,47.434,0.072,42.802,0.088,43.172,0.090,48.006,0.070,42.814,0.085,42.966,0.094,47.810,0.069,42.872,0.081,43.049,0.094,46.098
0.075,42.851,0.082,42.914,0.096,46.875,0.075,42.807,0.092,43.044,0.093,47.564,0.073,42.791,0.088,43.027,0.096,47.345,0.072,42.845,0.084,43.015,0.097,45.715
0.078,42.841,0.085,42.892,0.099,46.478,0.078,42.889,0.095,42.983,0.096,47.010,0.076,42.769,0.091,43.088,0.099,46.948,0.075,42.881,0.087,43.058,0.100,45.333
0.081,42.814,0.088,42.870,0.100,46.318,0.081,42.894,0.100,43.125,0.100,46.680,0.078,42.800,0.094,43.037,,,0.078,42.840,0.089,43.024,,
0.084,42.835,0.091,42.903,,,0.084,42.938,,,,,0.081,42.831,0.097,43.043,,,0.081,42.860,0.092,43.068,,
0.087,42.824,0.095,42.882,,,0.087,42.981,,,,,0.084,42.836,0.100,42.991,,,0.083,42.865,0.095,43.112,,
0.090,42.829,0.098,42.914,,,0.090,42.947,,,,,0.086,42.786,,,,,0.086,42.838,0.098,43.038,,
0.093,42.865,0.100,42.998,,,0.093,42.952,,,,,0.089,42.818,,,,,0.089,42.875,0.100,43.042,,
0.096,42.838,,,,,0.096,42.996,,,,,0.092,42.823,,,,,0.092,42.848,,,,
0.099,42.874,,,,,0.098,43.000,,,,,0.095,42.827,,,,,0.095,42.884,,,,
0.100,42.893,,,,,0.100,43.042,,,,,0.097,42.832,,,,,0.098,42.889,,,,
,,,,,,,,,,,,0.100,42.863,,,,,0.100,42.955,,,,
